ID	TitleSlug	Title	Contest	Question	Rating
892	shortest-subarray-with-sum-at-least-k	和至少为 K 的最短子数组	weekly-contest-91	T4	2500.9933
898	transpose-matrix	转置矩阵	weekly-contest-92	T1	1320.86584
896	smallest-subtree-with-all-the-deepest-nodes	具有所有最深节点的最小子树	weekly-contest-92	T2	1812.60712
897	prime-palindrome	回文素数	weekly-contest-92	T3	2073.26153
895	shortest-path-to-get-all-keys	获取所有钥匙的最短路径	weekly-contest-92	T4	9180.749379999999
899	binary-gap	二进制间距	weekly-contest-93	T1	1293.17537
900	reordered-power-of-2	重新排序得到 2 的幂	weekly-contest-93	T2	1528.91885
901	advantage-shuffle	优势洗牌	weekly-contest-93	T3	1710.49393
902	minimum-number-of-refueling-stops	最低加油次数	weekly-contest-93	T4	2205.78916
904	leaf-similar-trees	叶子相似的树	weekly-contest-94	T1	1310.0929
906	walking-robot-simulation	模拟行走机器人	weekly-contest-94	T2	2037.97484
907	koko-eating-bananas	爱吃香蕉的珂珂	weekly-contest-94	T3	1931.89126
905	length-of-longest-fibonacci-subsequence	最长的斐波那契子序列的长度	weekly-contest-94	T4	1997.51212
908	middle-of-the-linked-list	链表的中间结点	weekly-contest-95	T1	1301.05902
909	stone-game	石子游戏	weekly-contest-95	T2	1643.9083
910	nth-magical-number	第 N 个神奇数字	weekly-contest-95	T3	1948.15799
911	profitable-schemes	盈利计划	weekly-contest-95	T4	2317.89194
919	projection-area-of-3d-shapes	三维形体投影面积	weekly-contest-96	T1	1374.7315
917	boats-to-save-people	救生艇	weekly-contest-96	T2	1542.84525
916	decoded-string-at-index	索引处的解码字符串	weekly-contest-96	T3	2166.98016
918	reachable-nodes-in-subdivided-graph	细分图中的可到达节点	weekly-contest-96	T4	9146.898289999999
920	uncommon-words-from-two-sentences	两句话中的不常见单词	weekly-contest-97	T1	1288.74973
921	spiral-matrix-iii	螺旋矩阵 III	weekly-contest-97	T2	1686.608
922	possible-bipartition	可能的二分法	weekly-contest-97	T3	2034.10126
923	super-egg-drop	鸡蛋掉落	weekly-contest-97	T4	2494.73021
924	fair-candy-swap	公平的糖果交换	weekly-contest-98	T1	1282.50908
926	find-and-replace-pattern	查找和替换模式	weekly-contest-98	T2	1408.76312
925	construct-binary-tree-from-preorder-and-postorder-traversal	根据前序和后序遍历构造二叉树	weekly-contest-98	T3	1803.60104
927	sum-of-subsequence-widths	子序列宽度之和	weekly-contest-98	T4	2355.28337
928	surface-area-of-3d-shapes	三维形体的表面积	weekly-contest-99	T1	1452.97741
929	groups-of-special-equivalent-strings	特殊等价字符串组	weekly-contest-99	T2	1661.18175
930	all-possible-full-binary-trees	所有可能的真二叉树	weekly-contest-99	T3	1935.90961
931	maximum-frequency-stack	最大频率栈	weekly-contest-99	T4	2245.64963
932	monotonic-array	单调数列	weekly-contest-100	T1	1165.93929
933	increasing-order-search-tree	递增顺序搜索树	weekly-contest-100	T2	1664.43695
934	bitwise-ors-of-subarrays	子数组按位或操作	weekly-contest-100	T3	2180.91291
935	orderly-queue	有序队列	weekly-contest-100	T4	2103.80347
936	rle-iterator	RLE 迭代器	weekly-contest-101	T1	1629.52691
937	online-stock-span	股票价格跨度	weekly-contest-101	T2	1773.49937
938	numbers-at-most-n-given-digit-set	最大为 N 的数字组合	weekly-contest-101	T3	2105.7806
939	valid-permutations-for-di-sequence	DI 序列的有效排列	weekly-contest-101	T4	2942.80367
941	sort-array-by-parity	按奇偶排序数组	weekly-contest-102	T1	1083.68998
940	fruit-into-baskets	水果成篮	weekly-contest-102	T2	1477.59625
943	sum-of-subarray-minimums	子数组的最小值之和	weekly-contest-102	T3	2128.4212
942	super-palindromes	超级回文数	weekly-contest-102	T4	2249.13293
944	smallest-range-i	最小差值 I	weekly-contest-103	T1	1175.53433
945	snakes-and-ladders	蛇梯棋	weekly-contest-103	T2	2159.84548
946	smallest-range-ii	最小差值 II	weekly-contest-103	T3	2488.93867
947	online-election	在线选举	weekly-contest-103	T4	2111.04516
950	x-of-a-kind-in-a-deck-of-cards	卡牌分组	weekly-contest-104	T1	1328.70739
951	partition-array-into-disjoint-intervals	分割数组	weekly-contest-104	T2	1504.91343
952	word-subsets	单词子集	weekly-contest-104	T3	1758.5805
949	cat-and-mouse	猫和老鼠	weekly-contest-104	T4	9445.289129999999
953	reverse-only-letters	仅仅反转字母	weekly-contest-105	T1	1268.90338
954	maximum-sum-circular-subarray	环形子数组的最大和	weekly-contest-105	T2	1837.67882
955	complete-binary-tree-inserter	完全二叉树插入器	weekly-contest-105	T3	1906.57316
956	number-of-music-playlists	播放列表的数量	weekly-contest-105	T4	2646.58153
958	sort-array-by-parity-ii	按奇偶排序数组 II	weekly-contest-106	T1	1118.74359
957	minimum-add-to-make-parentheses-valid	使括号有效的最少添加	weekly-contest-106	T2	1207.76593
959	3sum-with-multiplicity	三数之和的多种可能	weekly-contest-106	T3	1683.74183
960	minimize-malware-spread	尽量减少恶意软件的传播	weekly-contest-106	T4	1913.53002
961	long-pressed-name	长按键入	weekly-contest-107	T1	1210.43082
962	flip-string-to-monotone-increasing	将字符串翻转到单调递增	weekly-contest-107	T2	1558.36336
963	three-equal-parts	三等分	weekly-contest-107	T3	1984.51521
964	minimize-malware-spread-ii	尽量减少恶意软件的传播 II	weekly-contest-107	T4	2119.1208
965	unique-email-addresses	独特的电子邮件地址	weekly-contest-108	T1	1238.28764
966	binary-subarrays-with-sum	和相同的二元子数组	weekly-contest-108	T2	1603.51969
967	minimum-falling-path-sum	下降路径最小和	weekly-contest-108	T3	1635.25034
968	beautiful-array	漂亮数组	weekly-contest-108	T4	2437.15529
969	number-of-recent-calls	最近的请求次数	weekly-contest-109	T1	1352.64013
972	knight-dialer	骑士拨号器	weekly-contest-109	T2	1672.11188
971	shortest-bridge	最短的桥	weekly-contest-109	T3	1859.56809
973	stamping-the-sequence	戳印序列	weekly-contest-109	T4	9063.36548
974	reorder-data-in-log-files	重新排列日志文件	weekly-contest-110	T1	1327.55156
975	range-sum-of-bst	二叉搜索树的范围和	weekly-contest-110	T2	1407.62564
976	minimum-area-rectangle	最小面积矩形	weekly-contest-110	T3	1913.59234
977	distinct-subsequences-ii	不同的子序列 II	weekly-contest-110	T4	2004.67196
978	valid-mountain-array	有效的山脉数组	weekly-contest-111	T1	1088.64556
981	delete-columns-to-make-sorted	删列造序	weekly-contest-111	T2	1337.26024
979	di-string-match	增减字符串匹配	weekly-contest-111	T3	1342.44669
980	find-the-shortest-superstring	最短超级串	weekly-contest-111	T4	2434.50595
982	minimum-increment-to-make-array-unique	使数组唯一的最小增量	weekly-contest-112	T1	1370.86923
983	validate-stack-sequences	验证栈序列	weekly-contest-112	T2	1415.81453
984	most-stones-removed-with-same-row-or-column	移除最多的同行或同列石头	weekly-contest-112	T3	2149.6868
985	bag-of-tokens	令牌放置	weekly-contest-112	T4	1730.18393
986	largest-time-for-given-digits	给定数字能组成的最大时间	weekly-contest-113	T1	1453.80619
988	flip-equivalent-binary-trees	翻转等价二叉树	weekly-contest-113	T2	1534.91745
987	reveal-cards-in-increasing-order	按递增顺序显示卡牌	weekly-contest-113	T3	1682.44929
989	largest-component-size-by-common-factor	按公因数计算最大组件大小	weekly-contest-113	T4	2324.0987
990	verifying-an-alien-dictionary	验证外星语词典	weekly-contest-114	T1	1296.52312
991	array-of-doubled-pairs	二倍数对数组	weekly-contest-114	T2	1550.12546
992	delete-columns-to-make-sorted-ii	删列造序 II	weekly-contest-114	T3	1908.88836
993	tallest-billboard	最高的广告牌	weekly-contest-114	T4	2324.52088
994	prison-cells-after-n-days	N 天后的牢房	weekly-contest-115	T1	1503.50894
998	check-completeness-of-a-binary-tree	二叉树的完全性检验	weekly-contest-115	T2	1421.10799
999	regions-cut-by-slashes	由斜杠划分区域	weekly-contest-115	T3	2347.45873
1000	delete-columns-to-make-sorted-iii	删列造序 III	weekly-contest-115	T4	2301.64242
1001	n-repeated-element-in-size-2n-array	在长度 2N 的数组中找出重复 N 次的元素	weekly-contest-116	T1	1102.62335
1002	maximum-width-ramp	最大宽度坡	weekly-contest-116	T2	1540.63404
1003	minimum-area-rectangle-ii	最小面积矩形 II	weekly-contest-116	T3	1974.2197
1004	least-operators-to-express-number	表示数字的最少运算符	weekly-contest-116	T4	2681.8149
1005	univalued-binary-tree	单值二叉树	weekly-contest-117	T1	1162.87443
1007	numbers-with-same-consecutive-differences	连续差相同的数字	weekly-contest-117	T2	1423.79382
1006	vowel-spellchecker	元音拼写检查器	weekly-contest-117	T3	1852.7801
1008	binary-tree-cameras	监控二叉树	weekly-contest-117	T4	2155.32366
1010	powerful-integers	强整数	weekly-contest-118	T1	1156.05318
1009	pancake-sorting	煎饼排序	weekly-contest-118	T2	1436.19451
1011	flip-binary-tree-to-match-preorder-traversal	翻转二叉树以匹配先序遍历	weekly-contest-118	T3	1690.35341
1012	equal-rational-numbers	相等的有理数	weekly-contest-118	T4	2029.35425
1014	k-closest-points-to-origin	最接近原点的 K 个点	weekly-contest-119	T1	1145.82936
1018	largest-perimeter-triangle	三角形的最大周长	weekly-contest-119	T2	1217.42004
1016	subarray-sums-divisible-by-k	和可被 K 整除的子数组	weekly-contest-119	T3	1680.03692
1017	odd-even-jump	奇偶跳	weekly-contest-119	T4	2133.81707
1019	squares-of-a-sorted-array	有序数组的平方	weekly-contest-120	T1	1036.70628
1020	longest-turbulent-subarray	最长湍流子数组	weekly-contest-120	T2	1231.85562
1021	distribute-coins-in-binary-tree	在二叉树中分配硬币	weekly-contest-120	T3	1638.67759
1022	unique-paths-iii	不同路径 III	weekly-contest-120	T4	1815.59336
1026	string-without-aaa-or-bbb	不含 AAA 或 BBB 的字符串	weekly-contest-121	T1	1372.10294
1023	time-based-key-value-store	基于时间的键值存储	weekly-contest-121	T2	1586.59114
1025	minimum-cost-for-tickets	最低票价	weekly-contest-121	T3	1891.68052
1024	triples-with-bitwise-and-equal-to-zero	按位与为零的三元组	weekly-contest-121	T4	1928.60967
1027	sum-of-even-numbers-after-queries	查询后的偶数和	weekly-contest-122	T1	1172.36567
1030	smallest-string-starting-from-leaf	从叶结点开始的最小字符串	weekly-contest-122	T2	1567.75678
1028	interval-list-intersections	区间列表的交集	weekly-contest-122	T3	1521.16155
1029	vertical-order-traversal-of-a-binary-tree	二叉树的垂序遍历	weekly-contest-122	T4	1919.87948
1031	add-to-array-form-of-integer	数组形式的整数加法	weekly-contest-123	T1	1164.64748
1032	satisfiability-of-equality-equations	等式方程的可满足性	weekly-contest-123	T2	1569.16163
1033	broken-calculator	坏了的计算器	weekly-contest-123	T3	1694.80919
1034	subarrays-with-k-different-integers	K 个不同整数的子数组	weekly-contest-123	T4	2201.53791
1035	cousins-in-binary-tree	二叉树的堂兄弟节点	weekly-contest-124	T1	1299.21555
1036	rotting-oranges	腐烂的橘子	weekly-contest-124	T2	1420.37414
1037	minimum-number-of-k-consecutive-bit-flips	K 连续位的最小翻转次数	weekly-contest-124	T3	1766.7991
1038	number-of-squareful-arrays	正方形数组的数目	weekly-contest-124	T4	1991.28348
1039	find-the-town-judge	找到小镇的法官	weekly-contest-125	T1	1113.41393
1041	available-captures-for-rook	可以被一步捕获的棋子数	weekly-contest-125	T2	1218.62813
1040	maximum-binary-tree-ii	最大二叉树 II	weekly-contest-125	T3	1507.15337
1043	grid-illumination	网格照明	weekly-contest-125	T4	1944.28114
1044	find-common-characters	查找共用字符	weekly-contest-126	T1	1200.5642
1045	check-if-word-is-valid-after-substitutions	检查替换后的词是否有效	weekly-contest-126	T2	1340.48048
1046	max-consecutive-ones-iii	最大连续1的个数 III	weekly-contest-126	T3	1717.23207
1042	minimum-cost-to-merge-stones	合并石头的最低成本	weekly-contest-126	T4	2482.33921
1047	maximize-sum-of-array-after-k-negations	K 次取反后最大化的数组和	weekly-contest-127	T1	1132.13354
1048	clumsy-factorial	笨阶乘	weekly-contest-127	T2	1276.57412
1049	minimum-domino-rotations-for-equal-row	行相等的最少多米诺旋转	weekly-contest-127	T3	1451.54637
1050	construct-binary-search-tree-from-preorder-traversal	前序遍历构造二叉搜索树	weekly-contest-127	T4	1528.38466
1054	complement-of-base-10-integer	十进制整数的反码	weekly-contest-128	T1	1103.84117
1055	pairs-of-songs-with-total-durations-divisible-by-60	总持续时间可被 60 整除的歌曲	weekly-contest-128	T2	1240.45779
1056	capacity-to-ship-packages-within-d-days	在 D 天内送达包裹的能力	weekly-contest-128	T3	1596.85159
1057	numbers-with-repeated-digits	至少有 1 位重复的数字	weekly-contest-128	T4	2245.49327
1062	partition-array-into-three-parts-with-equal-sum	将数组分成和相等的三个部分	weekly-contest-129	T1	1313.81049
1064	smallest-integer-divisible-by-k	可被 K 整除的最小整数	weekly-contest-129	T2	1809.36981
1063	best-sightseeing-pair	最佳观光组合	weekly-contest-129	T3	1766.16235
1065	binary-string-with-substrings-representing-1-to-n	子串能表示从 1 到 N 数字的二进制串	weekly-contest-129	T4	1744.43109
1071	binary-prefix-divisible-by-5	可被 5 整除的二进制前缀	weekly-contest-130	T1	1284.95162
1070	convert-to-base-2	负二进制转换	weekly-contest-130	T2	1694.34413
1072	next-greater-node-in-linked-list	链表中的下一个更大节点	weekly-contest-130	T3	1628.02633
1073	number-of-enclaves	飞地的数量	weekly-contest-130	T4	1722.07805
1078	remove-outermost-parentheses	删除最外层的括号	weekly-contest-131	T1	1179.12023
1079	sum-of-root-to-leaf-binary-numbers	从根到叶的二进制数之和	weekly-contest-131	T2	1439.60628
1080	camelcase-matching	驼峰式匹配	weekly-contest-131	T3	1520.11351
1081	video-stitching	视频拼接	weekly-contest-131	T4	1719.02626
1086	divisor-game	除数博弈	weekly-contest-132	T1	1262.3569
1092	maximum-difference-between-node-and-ancestor	节点与其祖先之间的最大差值	weekly-contest-132	T2	1434.14061
1087	longest-arithmetic-subsequence	最长等差数列	weekly-contest-132	T3	1763.63178
1093	recover-a-tree-from-preorder-traversal	从先序遍历还原二叉树	weekly-contest-132	T4	1786.33136
1095	two-city-scheduling	两地调度	weekly-contest-133	T1	1443.06232
1094	matrix-cells-in-distance-order	距离顺序排列矩阵单元格	weekly-contest-133	T2	1375.10589
1096	maximum-sum-of-two-non-overlapping-subarrays	两个非重叠子数组的最大和	weekly-contest-133	T3	1641.56421
1097	stream-of-characters	字符流	weekly-contest-133	T4	2092.61918
1103	moving-stones-until-consecutive	移动石子直到连续	weekly-contest-134	T1	1228.28222
1104	coloring-a-border	边界着色	weekly-contest-134	T2	1616.62479
1105	uncrossed-lines	不相交的线	weekly-contest-134	T3	1814.23432
1106	escape-a-large-maze	逃离大迷宫	weekly-contest-134	T4	2276.68991
1115	valid-boomerang	有效的回旋镖	weekly-contest-135	T1	1119.1724
1114	binary-search-tree-to-greater-sum-tree	从二叉搜索树到更大和树	weekly-contest-135	T2	1363.04651
1111	minimum-score-triangulation-of-polygon	多边形三角剖分的最低得分	weekly-contest-135	T3	2096.23001
1113	moving-stones-until-consecutive-ii	移动石子直到连续 II	weekly-contest-135	T4	2554.89026
1119	robot-bounded-in-circle	困于环中的机器人	weekly-contest-136	T1	1360.2977
1120	flower-planting-with-no-adjacent	不邻接植花	weekly-contest-136	T2	1697.79983
1121	partition-array-for-maximum-sum	分隔数组以得到最大和	weekly-contest-136	T3	2011.14946
1122	longest-duplicate-substring	最长重复子串	weekly-contest-136	T4	2626.92524
1127	last-stone-weight	最后一块石头的重量	weekly-contest-137	T1	1048.05894
1128	remove-all-adjacent-duplicates-in-string	删除字符串中的所有相邻重复项	weekly-contest-137	T2	1201.19367
1129	longest-string-chain	最长字符串链	weekly-contest-137	T3	1759.01174
1130	last-stone-weight-ii	最后一块石头的重量 II	weekly-contest-137	T4	2198.54243
1137	height-checker	高度检查器	weekly-contest-138	T1	1106.30829
1138	grumpy-bookstore-owner	爱生气的书店老板	weekly-contest-138	T2	1294.47839
1139	previous-permutation-with-one-swap	交换一次的先前排列	weekly-contest-138	T3	1534.06018
1140	distant-barcodes	距离相等的条形码	weekly-contest-138	T4	1730.07315
1066	fixed-point	不动点	biweekly-contest-1	T1	1072.80321
1075	index-pairs-of-a-string	字符串的索引对	biweekly-contest-1	T2	1206.12776
1067	campus-bikes-ii	校园自行车分配 II	biweekly-contest-1	T3	1851.61024
1068	digit-count-in-range	范围内的数字计数	biweekly-contest-1	T4	1959.05723
1146	greatest-common-divisor-of-strings	字符串的最大公因子	weekly-contest-139	T1	1277.45964
1147	flip-columns-for-maximum-number-of-equal-rows	按列翻转得到最大值等行数	weekly-contest-139	T2	1784.55319
1148	adding-two-negabinary-numbers	负二进制数相加	weekly-contest-139	T3	1702.18808
1145	number-of-submatrices-that-sum-to-target	元素和为目标值的子矩阵数量	weekly-contest-139	T4	2342.07421
1156	occurrences-after-bigram	Bigram 分词	weekly-contest-140	T1	1105.12405
1160	letter-tile-possibilities	活字印刷	weekly-contest-140	T2	1586.32477
1157	insufficient-nodes-in-root-to-leaf-paths	根到叶路径上的不足节点	weekly-contest-140	T3	1731.44386
1159	smallest-subsequence-of-distinct-characters	不同字符的最小子序列	weekly-contest-140	T4	1960.356
1082	sum-of-digits-in-the-minimum-number	最小元素各数位之和	biweekly-contest-2	T1	1019.00734
1074	high-five	前五科的均分	biweekly-contest-2	T2	1164.20147
1076	brace-expansion	花括号展开	biweekly-contest-2	T3	1396.14564
1077	confusing-number-ii	易混淆数 II	biweekly-contest-2	T4	2060.0067
1168	duplicate-zeros	复写零	weekly-contest-141	T1	1083.74846
1169	largest-values-from-labels	受标签影响的最大值	weekly-contest-141	T2	1408.36319
1171	shortest-path-in-binary-matrix	二进制矩阵中的最短路径	weekly-contest-141	T3	1638.85267
1170	shortest-common-supersequence	最短公共超序列	weekly-contest-141	T4	2045.31453
1183	statistics-from-a-large-sample	大样本统计	weekly-contest-142	T1	1365.59026
1184	car-pooling	拼车	weekly-contest-142	T2	1381.7727
1185	find-in-mountain-array	山脉数组中查找目标值	weekly-contest-142	T3	1841.32486
1188	brace-expansion-ii	花括号展开 II	weekly-contest-142	T4	2429.26242
1083	two-sum-less-than-k	小于 K 的两数之和	biweekly-contest-3	T1	1010.22385
1084	find-k-length-substrings-with-no-repeated-characters	长度为 K 的无重复字符子串	biweekly-contest-3	T2	1155.75132
1085	the-earliest-moment-when-everyone-become-friends	彼此熟识的最早时间	biweekly-contest-3	T3	1455.97172
1099	path-with-maximum-minimum-value	得分最高的路径	biweekly-contest-3	T4	2034.22862
1195	distribute-candies-to-people	分糖果 II	weekly-contest-143	T1	1085.06686
1194	path-in-zigzag-labelled-binary-tree	二叉树寻路	weekly-contest-143	T2	1327.07042
1196	filling-bookcase-shelves	填充书架	weekly-contest-143	T3	2015.8657
1197	parsing-a-boolean-expression	解析布尔表达式	weekly-contest-143	T4	1751.04247
1205	defanging-an-ip-address	IP 地址无效化	weekly-contest-144	T1	1015.76806
1206	corporate-flight-bookings	航班预订统计	weekly-contest-144	T2	1678.32041
1207	delete-nodes-and-return-forest	删点成林	weekly-contest-144	T3	1505.53134
1208	maximum-nesting-depth-of-two-valid-parentheses-strings	有效括号的嵌套深度	weekly-contest-144	T4	1784.88325
1088	number-of-days-in-a-month	一月有多少天	biweekly-contest-4	T1	1100.29619
1089	remove-vowels-from-a-string	删去字符串中的元音	biweekly-contest-4	T2	1105.20214
1091	maximum-average-subtree	子树的最大平均值	biweekly-contest-4	T3	1312.47077
1118	divide-array-into-increasing-sequences	将数组分成几个递增序列	biweekly-contest-4	T4	1580.33747
1217	relative-sort-array	数组的相对排序	weekly-contest-145	T1	1160.6788
1218	lowest-common-ancestor-of-deepest-leaves	最深叶节点的最近公共祖先	weekly-contest-145	T2	1655.43103
1219	longest-well-performing-interval	表现良好的最长时间段	weekly-contest-145	T3	1931.8642
1220	smallest-sufficient-team	最小的必要团队	weekly-contest-145	T4	2304.35774
1227	number-of-equivalent-domino-pairs	等价多米诺骨牌对的数量	weekly-contest-146	T1	1250.72452
1229	shortest-path-with-alternating-colors	颜色交替的最短路径	weekly-contest-146	T2	1837.48099
1228	minimum-cost-tree-from-leaf-values	叶值的最小代价生成树	weekly-contest-146	T3	1887.76784
1230	maximum-of-absolute-value-expression	绝对值表达式的最大值	weekly-contest-146	T4	2190.19633
1098	largest-unique-number	最大唯一数	biweekly-contest-5	T1	1084.2972
1090	armstrong-number	阿姆斯特朗数	biweekly-contest-5	T2	1089.13935
1100	connecting-cities-with-minimum-cost	最低成本联通所有城市	biweekly-contest-5	T3	1766.24182
1101	parallel-courses	并行课程	biweekly-contest-5	T4	1655.82136
1236	n-th-tribonacci-number	第 N 个泰波那契数	weekly-contest-147	T1	1045.55092
1238	alphabet-board-path	字母板上的路径	weekly-contest-147	T2	1304.28034
1239	largest-1-bordered-square	最大的以 1 为边界的正方形	weekly-contest-147	T3	1624.7118
1240	stone-game-ii	石子游戏 II	weekly-contest-147	T4	2118.69979
1247	decrease-elements-to-make-array-zigzag	递减元素使数组呈锯齿状	weekly-contest-148	T1	1454.12374
1248	binary-tree-coloring-game	二叉树着色游戏	weekly-contest-148	T2	1763.00356
1249	snapshot-array	快照数组	weekly-contest-148	T3	1801.26714
1251	longest-chunked-palindrome-decomposition	段式回文	weekly-contest-148	T4	1898.08261
1102	check-if-a-number-is-majority-element-in-a-sorted-array	检查一个数是否在数组中占绝大多数	biweekly-contest-6	T1	1092.78767
1107	minimum-swaps-to-group-all-1s-together	最少交换次数来组合所有的 1	biweekly-contest-6	T2	1393.02618
1108	analyze-user-website-visit-pattern	用户网站访问行为分析	biweekly-contest-6	T3	1817.98488
1124	string-transforms-into-another-string	字符串转化	biweekly-contest-6	T4	1908.97019
1260	day-of-the-year	一年中的第几天	weekly-contest-149	T1	1136.73208
1263	number-of-dice-rolls-with-target-sum	掷骰子的N种方法	weekly-contest-149	T2	1674.949
1261	swap-for-longest-repeated-character-substring	单字符重复子串的最大长度	weekly-contest-149	T3	1758.88838
1262	online-majority-element-in-subarray	子数组中占绝大多数的元素	weekly-contest-149	T4	1971.84543
1112	find-words-that-can-be-formed-by-characters	拼写单词	weekly-contest-150	T1	1136.66857
1116	maximum-level-sum-of-a-binary-tree	最大层内元素和	weekly-contest-150	T2	1250.74797
1117	as-far-from-land-as-possible	地图分析	weekly-contest-150	T3	1693.19713
1133	last-substring-in-lexicographical-order	按字典序排在最后的子串	weekly-contest-150	T4	1824.31085
1123	single-row-keyboard	单行键盘	biweekly-contest-7	T1	1052.54712
1125	design-file-system	设计文件系统	biweekly-contest-7	T2	1406.54664
1126	minimum-cost-to-connect-sticks	连接棒材的最低费用	biweekly-contest-7	T3	1397.85585
1144	optimize-water-distribution-in-a-village	水资源分配优化	biweekly-contest-7	T4	2042.07322
1272	invalid-transactions	查询无效交易	weekly-contest-151	T1	1559.60222
1273	compare-strings-by-frequency-of-the-smallest-character	比较字符串最小字母出现频次	weekly-contest-151	T2	1329.18883
1267	remove-zero-sum-consecutive-nodes-from-linked-list	从链表中删去总和值为零的连续节点	weekly-contest-151	T3	1760.88001
1270	dinner-plate-stacks	餐盘栈	weekly-contest-151	T4	2215.63507
1279	prime-arrangements	质数排列	weekly-contest-152	T1	1346.97355
1280	diet-plan-performance	健身计划评估	weekly-contest-152	T2	1375.27085
1281	can-make-palindrome-from-substring	构建回文串检测	weekly-contest-152	T3	1848.76343
1282	number-of-valid-words-for-each-puzzle	猜字谜	weekly-contest-152	T4	2308.00665
1131	count-substrings-with-only-one-distinct-letter	统计只含单一字母的子串	biweekly-contest-8	T1	1194.2103
1132	before-and-after-puzzle	前后拼接	biweekly-contest-8	T2	1515.37635
1134	shortest-distance-to-target-color	与目标颜色间的最短距离	biweekly-contest-8	T3	1676.36803
1152	maximum-number-of-ones	矩阵中 1 的最大数量	biweekly-contest-8	T4	2410.17032
1287	distance-between-bus-stops	公交站间的距离	weekly-contest-153	T1	1097.41253
1289	day-of-the-week	一周中的第几天	weekly-contest-153	T2	1220.08166
1288	maximum-subarray-sum-with-one-deletion	删除一次得到子数组最大和	weekly-contest-153	T3	1867.6865
1290	make-array-strictly-increasing	使数组严格递增	weekly-contest-153	T4	2338.56966
1297	maximum-number-of-balloons	“气球” 的最大数量	weekly-contest-154	T1	1063.674
1298	reverse-substrings-between-each-pair-of-parentheses	反转每对括号间的子串	weekly-contest-154	T2	1436.20461
1299	k-concatenation-maximum-sum	K 次串联后最大子数组之和	weekly-contest-154	T3	1706.55445
1300	critical-connections-in-a-network	查找集群内的关键连接	weekly-contest-154	T4	2194.37369
1141	how-many-apples-can-you-put-into-the-basket	最多可以买到的苹果数量	biweekly-contest-9	T1	1141.92857
1142	minimum-knight-moves	进击的骑士	biweekly-contest-9	T2	1705.13746
1143	find-smallest-common-element-in-all-rows	找出所有行中最小公共元素	biweekly-contest-9	T3	1315.50652
1167	minimum-time-to-build-blocks	建造街区的最短时间	biweekly-contest-9	T4	2245.40587
1306	minimum-absolute-difference	最小绝对差	weekly-contest-155	T1	1124.92632
1307	ugly-number-iii	丑数 III	weekly-contest-155	T2	2020.33865
